ticket_id,created_date,assigned_to,priority,status,category,team,first_response_date,resolution_date,customer_tier,escalated,escalation_date,satisfaction_score
T-215470060564620,2025-07-29T04:23:39.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-29T05:02:33.000Z,2025-07-29T06:16:04.000Z,,false,,5
T-215470059827232,2025-07-29T02:04:08.000Z,Unassigned,Medium,Resolved,Failed Orders,Customer Success,2025-07-29T02:09:01.000Z,2025-07-31T13:43:54.000Z,,false,,
T-215470059593736,2025-07-29T01:29:10.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-29T05:01:30.000Z,2025-07-29T01:32:38.000Z,,false,,
T-215470059256641,2025-07-29T00:28:01.000Z,Unassigned,Medium,Open,Failed Orders,Customer Success,2025-07-29T01:56:30.000Z,,,false,,
T-215470059256125,2025-07-29T00:27:56.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-29T01:47:05.000Z,2025-08-01T15:06:52.000Z,,false,,
T-215470057790608,2025-07-28T22:53:45.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-07-29T02:28:25.000Z,,false,,
T-215470057493828,2025-07-28T22:09:04.000Z,Unassigned,Medium,Open,General,Customer Success,2025-07-29T11:36:27.000Z,,,false,,
T-215470057372791,2025-07-28T21:52:42.000Z,Unassigned,Medium,Open,General,Customer Success,2025-07-28T21:59:15.000Z,2025-07-30T04:54:21.000Z,,false,,
T-215470057273728,2025-07-28T21:37:45.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-29T03:01:51.000Z,2025-07-30T16:16:11.000Z,,false,,5
T-215470057269923,2025-07-28T21:37:11.000Z,Susan,Medium,Resolved,General,Unassigned,,2025-07-28T21:40:15.000Z,,false,,
T-215470056440930,2025-07-28T21:10:20.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-28T21:16:20.000Z,2025-07-29T12:31:35.000Z,,false,,
T-215470056109800,2025-07-28T20:57:16.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-28T21:03:57.000Z,2025-07-28T23:39:56.000Z,,false,,5
T-215470055332548,2025-07-28T20:17:35.000Z,Unassigned,Medium,Open,Failed Orders,Customer Success,2025-07-28T20:50:46.000Z,,,false,,
T-215470055004143,2025-07-28T19:51:45.000Z,Unassigned,Medium,Resolved,General,Unassigned,2025-07-28T20:00:56.000Z,2025-07-28T20:01:05.000Z,,false,,
T-215470054955287,2025-07-28T19:45:10.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-28T20:02:02.000Z,2025-08-01T00:32:20.000Z,,false,,
T-215470054119076,2025-07-28T18:30:43.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-07-29T15:05:42.000Z,,false,,
T-215470054117406,2025-07-28T18:30:32.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-07-29T15:05:35.000Z,,false,,
T-215470052553765,2025-07-28T16:22:07.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-07-28T17:00:29.000Z,,false,,
T-215470052056104,2025-07-28T16:07:58.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-07-29T15:06:12.000Z,,false,,
T-215470051646592,2025-07-28T15:39:32.000Z,Unassigned,Medium,Resolved,General,Customer Success,,2025-07-28T16:14:56.000Z,,false,,
T-215470047910577,2025-07-28T13:39:39.000Z,Unassigned,Medium,Resolved,Failed Orders,Customer Success,2025-07-28T14:28:27.000Z,2025-08-01T19:37:11.000Z,,false,,
T-215470047774797,2025-07-28T13:37:44.000Z,Unassigned,Medium,Resolved,Failed Orders,Unassigned,,2025-07-28T13:43:42.000Z,,false,,
T-215470044286241,2025-07-28T12:28:59.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-28T13:07:02.000Z,2025-07-29T13:04:12.000Z,,false,,5
T-215470043860475,2025-07-28T12:13:38.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-28T12:24:30.000Z,2025-07-29T13:03:58.000Z,,false,,
T-215470043409214,2025-07-28T11:45:09.000Z,Unassigned,Medium,Open,General,Customer Success,2025-07-28T12:55:00.000Z,,,false,,
T-215470042156975,2025-07-28T09:30:25.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-07-28T09:45:27.000Z,,false,,
T-215470042150953,2025-07-28T09:29:21.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-07-28T09:45:17.000Z,,false,,
T-215470041614465,2025-07-28T08:44:50.000Z,Susan,Medium,Resolved,General,Unassigned,,2025-07-28T08:49:21.000Z,,false,,
T-215470040799678,2025-07-28T07:11:48.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-28T14:27:54.000Z,2025-07-28T23:47:50.000Z,,false,,
T-215470015114153,2025-07-25T15:36:52.000Z,Unassigned,Medium,Resolved,General,Customizations,2025-07-28T14:24:17.000Z,2025-07-31T08:38:00.000Z,,false,,5
T-215470038930116,2025-07-28T04:18:35.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-28T04:51:11.000Z,2025-07-28T04:21:38.000Z,,false,,
T-215470037626161,2025-07-27T23:48:51.000Z,Unassigned,Medium,Open,General,Customer Success,2025-07-28T13:50:27.000Z,,,false,,
T-215470037625851,2025-07-27T23:48:45.000Z,Unassigned,Medium,Open,Failed Orders,Customer Success,2025-07-28T12:32:22.000Z,,,false,,
T-215470037020703,2025-07-27T22:52:02.000Z,Unassigned,Medium,Resolved,Failed Orders,Customer Success,2025-07-28T11:28:53.000Z,2025-07-27T22:56:42.000Z,,false,,
